Array Size, Duration Time
2,204
4,198
8,164
16,164
32,165
64,165
128,164
256,164
512,163
1024,163
2048,162
4096,164
8192,548533363312
16384,548533363312
32768,548533363344
65536,548533363360
131072,367882812352
Array Size, Duration Time
2,186
4,163
8,162
16,162
32,163
64,163
128,162
256,162
512,165
1024,165
2048,164
4096,162
8192,548350759536
16384,548350759536
32768,548350759568
65536,548350759584
131072,367031385632
Array Size, Duration Time
2,189
4,163
8,162
16,162
32,164
64,163
128,162
256,162
512,165
1024,165
2048,164
4096,162
8192,548490035824
16384,548490035824
32768,548490035856
65536,548490035872
131072,367702151888
Array Size, Duration Time
2,183
4,163
8,162
16,162
32,163
64,163
128,162
256,162
512,165
1024,165
2048,164
4096,162
8192,548267962992
16384,548267962992
32768,548267963024
65536,548267963040
131072,367670882928
Array Size, Duration Time
2,181
4,163
8,162
16,162
32,163
64,163
128,162
256,162
512,165
1024,165
2048,164
4096,162
8192,548484854352
16384,548484854384
32768,548484854416
65536,548484854432
131072,367860194336
Array Size, Duration Time
2,187
4,163
8,162
16,162
32,163
64,163
128,162
256,162
512,165
1024,165
2048,164
4096,162
8192,548539785840
16384,548539785840
32768,548539785872
65536,548539785888
131072,367461907568
